record_date,generated_at,code,name,price,change_pct,turnover_rate,amount,main_inflow,leading_stock,leading_stock_code,leading_stock_change_pct,source
2026-07-06,2026-07-06T11:24:33+08:00,BK1412,氨纶,2780.84,5.74,1.61,869913576.0,46881716.0,华峰化学,002064,5.74,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1600,医疗研发外包,7389.26,3.45,4.54,23796165369.0,923689968.0,和元生物,688238,12.2,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0986,CAR-T细胞疗法,1157.18,3.28,3.82,16221122685.0,354807200.0,三元基因,920344,14.53,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0872,青蒿素,1992.38,3.16,1.78,6440501491.0,369608784.0,德龙汇能,000593,9.99,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1620,钴,1222.0,2.99,3.61,915592746.0,80113819.0,寒锐钴业,300618,4.31,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1512,生猪养殖,3828.95,2.99,1.88,5779124148.0,507801136.0,巨星农牧,603477,7.3,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1569,炼油化工,3358.01,2.98,0.21,5918240211.0,165787984.0,东方盛虹,000301,6.45,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0870,单抗概念,1719.13,2.91,2.79,33333122032.0,1876062464.0,华海药业,600521,9.99,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1063,重组蛋白,972.7,2.88,3.64,7003752700.0,442632496.0,迈威生物-U,688062,10.42,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1596,其他生物制品,7988.1,2.78,2.57,13090249561.0,834219472.0,甘李药业,603087,10.0,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0899,CRO,1926.12,2.73,3.7,25791858590.0,943521760.0,和元生物,688238,12.2,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1146,减肥药,1255.14,2.64,2.72,27513564408.0,1516482624.0,甘李药业,603087,10.0,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1431,有机硅,3933.2,2.62,4.8,5707545655.0,213859184.0,新亚强,603155,10.01,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0698,免疫治疗,1478.25,2.5,1.88,12204346621.0,706785488.0,华海药业,600521,9.99,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1594,化学制剂,3927.99,2.41,3.06,49882910490.0,2392415488.0,罗欣药业,002793,9.98,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1106,创新药,1456.9,2.38,2.46,85180444645.0,3566992640.0,甘李药业,603087,10.0,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1521,摩托车,3309.73,2.31,0.78,1816906405.0,31708820.0,涛涛车业,301345,7.56,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1597,血液制品,4118.43,2.25,0.88,730585064.0,-19980261.0,派林生物,000403,6.03,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1044,生物制品,994.63,2.23,1.76,16397293302.0,923174736.0,甘李药业,603087,10.0,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1051,昨日连板_含一字,26420.31,2.23,3.72,15438931890.0,62436208.0,恒尚节能,603137,9.99,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0946,EDA概念,1726.07,2.2,1.96,9407104118.0,-31011280.0,概伦电子,688206,20.01,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0729,船舶制造,1235.89,2.19,1.13,10915706496.0,384201808.0,松发股份,603268,10.0,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0465,化学制药,36471.8,2.13,2.97,59421558758.0,2561464064.0,罗欣药业,002793,9.98,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1259,养殖业,3624.52,2.04,1.95,7411602429.0,499496512.0,巨星农牧,603477,7.3,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1645,昨日打二板以上表现,5861.3,2.04,6.07,1024762405.0,-21464837.0,恒尚节能,603137,9.99,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1489,快递,5495.46,1.97,0.76,1636370733.0,-33030934.0,申通快递,002468,3.56,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1421,钛白粉,1857.85,1.96,2.11,1118273798.0,165818591.0,金浦钛业,000545,10.16,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1323,综合电力设备商,1296.27,1.91,0.74,2298631964.0,199797552.0,东方电气,600875,4.4,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK0887,鸡肉概念,701.95,1.86,1.47,3912819056.0,215173637.0,巨星农牧,603477,7.3,本地最近板块CSV
2026-07-06,2026-07-06T11:24:33+08:00,BK1347,纺织鞋类制造,376.43,1.85,0.14,51282362.0,187824.0,华利集团,300979,1.85,本地最近板块CSV
