record_date,generated_at,code,name,price,change_pct,change,volume,amount,source
2026-07-06,2026-07-06T11:24:33+08:00,688808,联讯仪器,2265.99,-0.18,-4.01,8439.0,1928754360.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688498,源杰科技,1653.1,-0.37,-6.13,29474.0,4767201375.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688256,寒武纪,1353.18,0.01,0.18,67380.0,9065351044.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,600519,贵州茅台,1206.41,1.0,11.96,28991.0,3469742375.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300308,中际旭创,1109.69,-0.57,-6.31,227222.0,24946186150.49,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,001309,德明利,899.0,1.94,17.09,145713.0,12940707329.53,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,002371,北方华创,801.97,-1.72,-14.03,104081.0,8274503040.49,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688766,普冉股份,775.04,-5.01,-40.84,74537.0,5793072889.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688802,沐曦股份-U,715.88,-3.05,-22.5,11711.0,836509611.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,301308,江波龙,685.47,10.91,67.45,223892.0,15309114272.8,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,603986,兆易创新,653.06,-3.65,-24.71,445207.0,29454477435.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688795,摩尔线程-U,642.51,-0.2,-1.3,14896.0,940895361.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,301666,大普微-UW,590.0,-0.51,-3.02,24336.0,1455680945.27,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688627,精智达,569.0,-1.61,-9.3,33053.0,1857261533.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688502,茂莱光学,556.0,-2.84,-16.28,14509.0,804191366.0,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,300502,新易盛,520.63,-1.02,-5.37,286118.0,14701085852.38,本地最近行情CSV
2026-07-06,2026-07-06T11:24:33+08:00,688809,强一股份,507.97,-0.59,-3.03,15242.0,765119887.0,本地最近行情CSV
