record_date,stock_code,company_name,status,subscription_end_date,expected_listing_date,data_source,source_url
2026-07-02,02667,同仁堂医养,认购中（当日截止）,2026-07-02,2026-07-07,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,01770,东方科脉,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,07656,瑞为技术,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,07687,易控智驾,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,08090,宝盖新材,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,09971,基本半导体,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,06880,MOMENTA-W,认购中,2026-07-03,2026-07-08,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,02797,齐云山食品,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,03752,珞石机器人,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,00537,普源精电,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,02475,立讯精密,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,06951,三环集团,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,01377,鼎泰高科,认购中,2026-07-06,2026-07-09,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,02249,晶合集成,认购中,2026-07-07,2026-07-10,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,06745,滨化股份,认购中,2026-07-07,2026-07-10,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
2026-07-02,02523,永康控股,认购中,2026-07-08,2026-07-13,富途资讯,https://news.futunn.com/news-topics/172/stocks-ipo
