record_date,captured_at,stock_code,company_name,subscription_multiple,status,subscription_end_date,data_type,data_source,source_url
2026-07-03,2026-07-03 12:19:51 CST,01770,东方科脉,419.80,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,06880,MOMENTA-W,280.79,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,07656,瑞为技术,2536.83,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,07687,易控智驾,100.88,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,08090,宝盖新材,1591.47,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,09971,基本半导体,3348.75,已截止,2026-07-03,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,00537,普源精电,20.25,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,01377,鼎泰高科,32.77,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,02475,立讯精密,1.39,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,02797,齐云山食品,44.08,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,03752,珞石机器人,23.19,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,06951,三环集团,37.36,认购中,2026-07-06,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,02249,晶合集成,2.09,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,06745,滨化股份,3.39,认购中,2026-07-07,招股期实时推算值,HKIPOx,https://hkipox.com/
2026-07-03,2026-07-03 12:19:51 CST,02523,永康控股,10.99,认购中,2026-07-08,招股期实时推算值,HKIPOx,https://hkipox.com/
